name,class,rating,status,constituency,connection,officer,proposal,priority,zip,af14,af15,af16,af17,af18,cap14,cap15,cap16,cap17,cap18,city,state,latitude,longitude
"Gall, Conni",1990,110000,Stewardship,Alumn,Modestly Connected,"al-Aboud, Mahdeeya",NA,,54949,114,98,0,130,10,10000,20000,10000,10000,20000,Manawa,WI,44.472791,-88.91625
"Hopkins, De'Jaughn",2004,NA,NA,Alumn,Modestly Connected,NA,500434,Athletics,62922,519,472,297,611,314,20000,20000,20000,20000,20000,Creal Springs,IL,37.613705,-88.83922
"al-Atallah, Hishma",1979,110000,Cultivation,Alumn,Somewhat Connected,"el-Jaffer, Zaahira",NA,,32955,273,296,271,350,258,20000,20000,20000,20000,20000,Rockledge,FL,28.308581,-80.72558
"Aguilera, Isaiah",1970,NA,NA,Alumn,Not Connected,NA,499962,Residence Hall,79779,19,0,157,0,104,20000,10000,20000,20000,10000,Royalty,TX,31.459448,-103.188993
"Gardner, Toua",2011,100000,Annual Fund Leadership,Alumn,Somewhat Connected,NA,499894,Residence Hall,46302,0,209,303,0,376,20000,10000,20000,20000,10000,Boone Grove,IN,41.354186,-87.130431
"Perry, Shawna",1953,100000,Annual Fund Leadership,Alumn,Very Connected,"Barela, Audreana",499903,Math/Science Center,46527,0,0,0,0,0,10000,10000,10000,10000,10000,Goshen,IN,41.597739,-85.858076
"Marotta, Francesca",1991,100000,Annual Fund Leadership,Alumn,Somewhat Connected,"Barela, Audreana",NA,,14813,89,320,377,54,417,20000,10000,20000,20000,10000,Belmont,NY,42.238994,-78.01907
"Dunlap, Keandre",1954,110000,Annual Fund Leadership,Alumn,Somewhat Connected,"el-Jaffer, Zaahira",499851,Residence Hall,37089,181,0,0,176,0,10000,20000,10000,10000,10000,La Vergne,TN,35.859565,-86.420958
"Le, Jaelene",1984,NA,NA,Alumn,Not Connected,NA,NA,,29846,0,172,145,2,201,20000,10000,20000,20000,10000,Sycamore,SC,33.047132,-81.22185
"Westphal, Anthony",2008,110000,Annual Fund Leadership,Alumn,Modestly Connected,"Barela, Audreana",NA,,40818,166,589,273,304,464,20000,20000,20000,20000,20000,Coalgood,KY,36.807137,-83.26552
"Copeland, Dae-Zjon",2007,NA,NA,Alumn,Connected,NA,NA,,79991,271,0,5,230,0,10000,20000,10000,10000,20000,El Paso,TX,31.694842,-106.299987
"Yim, Raymond",NA,NA,NA,Parent,Not Connected,NA,499520,Athletics,38868,0,0,0,0,0,10000,20000,10000,10000,10000,Shannon,MS,34.122101,-88.72967
"Johnson, Alexzandria",2002,NA,NA,Alumn,Modestly Connected,NA,500288,Financial Aid,64065,92,345,253,146,337,20000,10000,20000,20000,20000,Lees Summit,MO,38.966641,-94.392885
"Lohrenz, Michaeli",1964,NA,NA,Alumn,Somewhat Connected,NA,NA,,01070,397,195,295,355,202,20000,20000,20000,20000,20000,Plainfield,MA,42.515853,-72.91661
"Meade, Connor",2006,100000,Annual Fund Leadership,Alumn,Not Connected,"Barela, Audreana",499893,Residence Hall,42164,0,0,0,0,19,10000,10000,20000,10000,10000,Scottsville,KY,36.767969,-86.1813
"Steele, Cameron",1993,NA,NA,Alumn,Very Connected,NA,NA,,10605,77,0,0,0,0,10000,20000,10000,10000,10000,White Plains,NY,41.01002,-73.75158
"Runyan, Preston",1962,NA,NA,Alumn,Connected,NA,NA,,44301,0,0,22,0,16,10000,10000,10000,10000,10000,Akron,OH,41.043955,-81.51919
"Mccracken, Atraidies",1971,100000,Not a Prospect,Alumn,Modestly Connected,NA,499958,Financial Aid,62993,124,105,258,25,215,20000,10000,20000,20000,10000,Unity,IL,37.150263,-89.27351
"Quick, Devin",1982,110000,Assessment,Alumn,Not Connected,NA,NA,,97501,210,328,252,228,301,20000,20000,20000,20000,20000,Medford,OR,42.313498,-122.87944
"Barrera, Amanda",NA,100000,Not a Prospect,Parent,Connected,NA,NA,,25375,0,137,79,0,166,20000,10000,20000,10000,10000,Charleston,WV,38.296818,-81.554655
"Phillips, Keiandra",1953,NA,NA,Alumn,Somewhat Connected,NA,NA,,00775,0,0,0,0,0,10000,10000,10000,10000,10000,Culebra,PR,18.311149,-65.29257
"Pitts, Daud",1976,NA,NA,Alumn,Modestly Connected,NA,NA,,04478,0,0,0,0,0,10000,10000,10000,10000,10000,Rockwood,ME,45.704599,-69.80879
"Shockey, Elier",1951,110000,Cultivation,Alumn,Very Connected,"el-Jaffer, Zaahira",NA,,42202,423,336,301,445,273,20000,20000,20000,20000,20000,Adairville,KY,36.681441,-86.85365
"Johnston, Melissa",1953,100000,Annual Fund Leadership,Alumn,Connected,"Barela, Audreana",499585,Math/Science Center,99350,0,0,0,0,0,10000,20000,10000,10000,10000,Prosser,WA,46.208571,-119.74507
"Tran, David",1964,NA,NA,Alumn,Somewhat Connected,NA,NA,,24328,58,57,0,78,20,10000,20000,10000,10000,20000,Fancy Gap,VA,36.659171,-80.70387
"Briseno, Holly",1997,NA,NA,Alumn,Not Connected,NA,NA,,10461,5,0,38,0,0,10000,10000,10000,10000,10000,Bronx,NY,40.842917,-73.83819
"Graves, Wyatt",1962,110000,Stewardship,Alumn,Modestly Connected,NA,NA,,59856,742,430,555,647,422,20000,20000,20000,20000,20000,Paradise,MT,47.387824,-114.799
"Falzon, Katharine",1987,100000,Annual Fund Leadership,Alumn,Not Connected,NA,NA,,01601,0,0,0,0,0,10000,10000,10000,10000,10000,Worcester,MA,42.265275,-71.879415
"el-Baten, Abdullah",1951,110000,Assessment,Alumn,Connected,NA,500296,Professorship,25033,97,562,306,140,509,20000,10000,20000,20000,20000,Buffalo,WV,38.61324,-81.95406
